星5の武器一覧
名称	評価	メインスキル
エンジェルロッド画像エンジェルロッド	9.6点	ウルトラハッスルダンス
小悪魔セティアのロッド画像小悪魔セティアのロッド	9.6点	サキュバスウィンク
らいめいのけん画像らいめいのけん	9.6点	ジゴスパーク
世界樹の天杖【刻】画像世界樹の天杖【刻】	9.6点	ルミナスレイン
竜の女王のツメ画像竜の女王のツメ	9.6点	女王の吐息【熱】
サマーメモリー画像サマーメモリー	9.6点	夏の渚のベホマラー
ルイーダウィップ画像ルイーダウィップ	9.6点	酒場のスペシャルオーダー
女神セレシアのつるぎ画像女神セレシアのつるぎ	9.6点	導きの聖斬
堕天使の棺画像堕天使の棺	9.6点	エターナル・サルベーション
魔幻槍画像魔幻槍	9.6点	ソウルイミテーション
水竜の短剣画像水竜の短剣	9.6点	マール・デ・ドラゴーン
ホイポイカプセル画像ホイポイカプセル	9.6点	ホイポイカプセルNo.9
ふしぎなタンバリン画像ふしぎなタンバリン	9.4点	シャイニングボウ
クリフトの聖杖画像クリフトの聖杖	9.4点	天への大祈祷
ウロボロスのつえ画像ウロボロスのつえ	9.4点	メドローア
カルベロビュート画像カルベロビュート	9.4点	カルベローナの万雷
ぎんがのつるぎ画像ぎんがのつるぎ	9.4点	覇王斬
闇竜のキバ画像闇竜のキバ	9.4点	黒くかがやく翼
ゴールデンクレイモア画像ゴールデンクレイモア	9.4点	ゴールデンクラッシュ
魔力の宝剣画像魔力の宝剣	9.4点	魔族連携・じごくの魔氷
はかいのてっきゅう画像はかいのてっきゅう	9.4点	破壊の撃砕
天使の断頭台画像天使の断頭台	9.4点	エターナルジャッジメント
ゾンビキラー画像ゾンビキラー	9.4点	不屈の絶剣
まじんのオノ画像まじんのオノ	9.4点	不屈の氷斧
蜃気楼画像蜃気楼	9.4点	宵断ちの華
グリンガムの三竜鞭画像グリンガムの三竜鞭	9.4点	タバササイクロン
にくきゅうミトン画像にくきゅうミトン	9.4点	チョコレイト・フィスト
闇の覇者の魔杖画像闇の覇者の魔杖	9.2点	ドルマドン
竜神王のつるぎ画像竜神王のつるぎ	9.2点	ドラゴンソウル改
メタルキングの剣画像メタルキングの剣	9.2点	王の一閃・轟雷
絶美なる妖鞭画像絶美なる妖鞭	9.2点	地這い大蛇
獄炎の大剣画像獄炎の大剣	9.2点	煉獄魔炎斬
世界樹の氷杖【魔】画像世界樹の氷杖【魔】	9.2点	マヒャドストーム
幻魔王のツメ画像幻魔王のツメ	9.2点	しゃくねつ
みわくのリボン画像みわくのリボン	9.2点	セクシービーム
さばきのこん画像さばきのこん	9.2点	-
えいゆうのやり画像えいゆうのやり	9.2点	ミラクルインパクト
飛天の書画像飛天の書	9.2点	おおぞらの術・雷轟
ブレアの炎槍画像ブレアの炎槍	9.2点	哀・燦々
ドランゴの闘斧画像ドランゴの闘斧	9.2点	マキシマムドランゴレイ
はかいのことわり画像はかいのことわり	9.2点	破壊の礼賛
世界樹のつるぎ画像世界樹のつるぎ	9.0点	導きの天光改
百獣の暗黒鞭画像百獣の暗黒鞭	9.0点	ダークネスフレア
武神の剛拳画像武神の剛拳	9.0点	ゴッドばくれつけん
じごくの魔鏡画像じごくの魔鏡	9.0点	ギラグレイド
まじんのかなづち画像まじんのかなづち	9.0点	魔神の炎槌
鎧の魔槍画像鎧の魔槍	9.0点	グランドクルス
真魔剛竜剣画像真魔剛竜剣	9.0点	ギガブレイク
忍刀・朧画像忍刀・朧	9.0点	秘剣・霞断ち
KM2式破壊機爪画像KM2式破壊機爪	9.0点	凍結処分プログラム
げっかびじん画像げっかびじん	9.0点	アゲハ乱舞
スラリン・ギア画像スラリン・ギア	9.0点	スラキャノン・フルバースト
オーロラの杖画像オーロラの杖	9.0点	ジバルンバ
ラミアスのつるぎ画像ラミアスのつるぎ	9.0点	破幻の剣閃
大太刀・立葵画像大太刀・立葵	9.0点	光刃
クレセントムーン画像クレセントムーン	8.5点	しおさいのセレナーデ
オチェアーノの剣画像オチェアーノの剣	8.5点	グランエスパーダ改
聖風のつえ画像聖風のつえ	8.5点	ベホマラー
天魔王のつえ画像天魔王のつえ	8.5点	天地邪砲
ルビスの剣画像ルビスの剣	8.5点	創世の光改
フロストスティンガー画像フロストスティンガー	8.5点	アイシクルバースト
ドラゴンのつえ画像ドラゴンのつえ	8.5点	ドラゴラム
グリンガムのムチ画像グリンガムのムチ	8.5点	純白の天雷撃
ストロスのつえ画像ストロスのつえ	8.5点	回帰のいやし
じげんりゅうの闘扇画像じげんりゅうの闘扇	8.5点	かがやくいき
きせきのつるぎ画像きせきのつるぎ	8.5点	奇跡の御来光
くさなぎのけん画像くさなぎのけん	8.5点	天岩招来
ミリオンダガー画像ミリオンダガー	8.5点	インフィニティエッジ
神鳥の杖画像神鳥の杖	8.5点	七賢者の浄炎
さとりのしょ画像さとりのしょ	8.5点	さとりのひかり
グランゼドーラの剣画像グランゼドーラの剣	8.5点	覚醒の炎
光創神のつえ画像光創神のつえ	8.5点	ゴッドアロー
さとりのつえ画像さとりのつえ	8.0点	いやしの波動改
ボルケーノウィップ画像ボルケーノウィップ	8.0点	火炎旋風改
王者の剣画像王者の剣	8.0点	ギガソード改
ラーミアの杖画像ラーミアの杖	8.0点	イオナズン改
バロックエッジ画像バロックエッジ	8.0点	閃熱の翼撃改
聖盾騎士のオノ画像聖盾騎士のオノ	8.0点	ホーリークラッシュ改
聖女のこん画像聖女のこん	8.0点	聖女の恵み改
黒嵐のツメ画像黒嵐のツメ	8.0点	テンペストブロウ改
ガイアのつるぎ画像ガイアのつるぎ	8.0点	ガイアブレード改
魔狼牙画像魔狼牙	8.0点	ダーククライ改
霊獣のつえ画像霊獣のつえ	8.0点	ギガデイン改
スーパーノヴァ画像スーパーノヴァ	8.0点	スーパーノヴァ改
ナイトメアチェーン画像ナイトメアチェーン	8.0点	カラミティストーム
トワイライトブルーム画像トワイライトブルーム	8.0点	トワイライトヒール
インフェルノワンド画像インフェルノワンド	8.0点	グランドインフェルノ改
炎獅子のツメ画像炎獅子のツメ	8.0点	猛火獅子王拳改
ストームアンカー画像ストームアンカー	8.0点	メイルストロム改
闇の覇者の竜鞭画像闇の覇者の竜鞭	8.0点	竜王の業火
いかずちのつえ画像いかずちのつえ	8.0点	イオマータ
はかいのつるぎ画像はかいのつるぎ	8.0点	破壊の斬光
ダンシングロッド画像ダンシングロッド	8.0点	いやしのフェアリーステップ
閃光烈火のツメ画像閃光烈火のツメ	8.0点	閃光烈火拳改
マスタードラゴンのやり画像マスタードラゴンのやり	8.0点	天空竜の裁き
はおうのオノ画像はおうのオノ	8.0点	森羅万象斬
星降りの霊杖画像星降りの霊杖	8.0点	星降りのパルプンテ
世界樹の天鞭【聖】画像世界樹の天鞭【聖】	8.0点	導きの雷陣
封印されし大賢者画像封印されし大賢者	8.0点	風ノ章・終節
守護神の戦笛画像守護神の戦笛	8.0点	ガーディアンインパクト
封竜の神楽鈴画像封竜の神楽鈴	8.0点	花舞いの神楽
ドラゴンキラー画像ドラゴンキラー	8.0点	邪竜氷葬撃
ルビスのやり画像ルビスのやり	8.0点	地裂の刻印
ライトニングダガー画像ライトニングダガー	8.0点	プラズマストライク
冥王の大鎌画像冥王の大鎌	8.0点	月下冥葬
テリーの剣画像テリーの剣	8.0点	我流ギガソード
キラーピアス画像キラーピアス	7.5点	ツインキラー
黄竜のツメ画像黄竜のツメ	7.5点	龍牙疾風拳改
ドラゴンブーメラン画像ドラゴンブーメラン	7.5点	レボルスライサー改
天空の剣画像天空の剣	7.5点	ビッグバンソード改
書聖のつえ画像書聖のつえ	7.5点	メラゾーマ改
常闇のやり画像常闇のやり	7.5点	月影の大鎌改
冥獣のツメ画像冥獣のツメ	7.5点	デーモンハント改
カンダタトマホーク画像カンダタトマホーク	7.5点	こぶん乱舞
オーシャンウィップ画像オーシャンウィップ	7.5点	魅惑の大水球改
蒼竜のやり画像蒼竜のやり	7.5点	凍てつく竜槍改
ハンマースピア画像ハンマースピア	7.5点	ベホイミショットガン(魔弾)
鎧の魔剣画像鎧の魔剣	7.5点	ブラッディースクライド
はぐれメタルの剣画像はぐれメタルの剣	7.5点	はぐれ雷光絶火
世界樹の天槍【紅】画像世界樹の天槍【紅】	7.5点	導きの天翔
ガルーダウィング画像ガルーダウィング	7.5点	グライディングバード
ロトのつるぎ画像ロトのつるぎ	7.0点	ギガスラッシュ改
ドラゴンロッド画像ドラゴンロッド	7.0点	バイシオン
ロザリーの杖画像ロザリーの杖	7.0点	エルフの慈愛
パプニカのナイフ画像パプニカのナイフ	7.0点	アバンストラッシュ
名もなき大剣画像名もなき大剣	7.0点	ひかりの一閃
メダルキングの剣画像メダルキングの剣	7.0点	メダル輝星斬
デスピサロの牙画像デスピサロの牙	6.5点	デスファング改
メタスラのオノ画像メタスラのオノ	6.5点	天下無双改
マジカルブースター画像マジカルブースター	6.5点	ベタン
ひかりのつえ画像ひかりのつえ	6.5点	せいなるいかずち
ひかりのタクト画像ひかりのタクト	6.0点	ザオラル
りゅうおうのつえ画像りゅうおうのつえ	6.0点	ドルモーア改
メタルウイング画像メタルウイング	6.0点	メタルブロウ改
王家のレイピア画像王家のレイピア	6.0点	アーススイング
プラチナウィング画像プラチナウィング	6.0点	ヒートスライサー
クリスタルクロー画像クリスタルクロー	5.5点	ゴッドスマッシュ
らいじんのやり画像らいじんのやり	5.5点	雷光さみだれ突き
やしゃのこん画像やしゃのこん	5.5点	氷結らんげき
ゴシックパラソル画像ゴシックパラソル	5.5点	マヒャド
メタスラの剣画像メタスラの剣	5.5点	メタルはやぶさ斬り改
メタスラのやり画像メタスラのやり	5.5点	超メタルさみだれ突き
キーファの剣画像キーファの剣	5.5点	閃烈回転斬り
いなずまの剣画像いなずまの剣	5.5点	まとい三閃斬り
金のスライムハンマー画像金のスライムハンマー	5.5点	金のスライムシャワー
グレートアックス画像グレートアックス	5.0点	オノむそう
名刀斬鉄丸画像名刀斬鉄丸	5.0点	つるぎのまい
アリアハンの剣画像アリアハンの剣	5.0点	メガスラッシュ
スイカブーメラン画像スイカブーメラン	5.0点	スイカスライサー
ほのおのつるぎ画像ほのおのつるぎ	5.0点	メラブレード
真空の斧画像真空の斧	5.0点	獣王痛恨撃
はやぶさの剣画像はやぶさの剣	5.0点	はやぶさ斬り改
マグマのつえ画像マグマのつえ	5.0点	マグマ
クリフトのやり画像クリフトのやり	5.0点	狼牙火炎突き
魔剣士の片手剣画像魔剣士の片手剣	5.0点	魔王炎斬
